Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/Lithuania/LTU000_VULSK_210511121836/2021	EPI_ISL_2428316	2021-05-10	Europe / Lithuania / Utenos apskritis				
hCoV-19/Lithuania/LTU000_MB_MB32652/2021	EPI_ISL_2428377	2021-05-14	Europe / Lithuania / Utenos apskritis				
hCoV-19/Lithuania/LTU000_VULSK_210512121264/2021	EPI_ISL_2428383	2021-05-12	Europe / Lithuania / Utenos apskritis				
hCoV-19/Lithuania/LTU000_INMEDICA_411686/2021	EPI_ISL_2428387	2021-05-11	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/IBT-LSC-VU_r11_33/2021	EPI_ISL_2428461	2021-05-17	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/IBT-LSC-VU_r11_46/2021	EPI_ISL_2428474	2021-05-20	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/IBT-LSC-VU_r11_09/2021	EPI_ISL_2428485	2021-05-19	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/MR-LUHS-10-48/2021	EPI_ISL_2428501	2021-05-17	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/S21E617/2021	EPI_ISL_2428545	2021-04-29	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/S21E725/2021	EPI_ISL_2428633	2021-05-06	Europe / Lithuania / Utenos apskritis				
hCoV-19/Lithuania/S21E718/2021	EPI_ISL_2428683	2021-04-20	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/S21E690/2021	EPI_ISL_2428700	2021-05-08	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/S21E882/2021	EPI_ISL_2428929	2021-05-11	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Gabon/CERMEL-DD0149/2021	EPI_ISL_2434979	2021-05-05	Africa / Gabon / Lambarene				
hCoV-19/Gabon/CERMEL-DD0336/2021	EPI_ISL_2442363	2021-05-08	Africa / Gabon / Lambarene				
hCoV-19/France/HDF-P261-21205M0670/2021	EPI_ISL_2444375	2021-05-21	Europe / France / Hauts-de-France				
hCoV-19/Italy/VEN-IZSVe-21RS1311-2_BL/2021	EPI_ISL_2448513	2021-05-17	Europe / Italy / Veneto / Belluno				
hCoV-19/Italy/VEN-IZSVe-21RS1309-5_PD/2021	EPI_ISL_2448608	2021-05-17	Europe / Italy / Veneto / Padova				
hCoV-19/Italy/VEN-IZSVe-21RS1309-12_PD/2021	EPI_ISL_2448615	2021-05-17	Europe / Italy / Veneto / Padova				
hCoV-19/France/PAC-IHU-9737_Illu1/2021	EPI_ISL_2453875	2021-05	Europe / France / Provence-Alpes-Cote d'Azur / Marseille				
hCoV-19/France/IDF-IPP12871/2021	EPI_ISL_2464024	2021-05-11	Europe / France / Ile-de-France / Paris				
hCoV-19/France/HDF-IPP13179/2021	EPI_ISL_2464209	2021-05-25	Europe / France / Hauts-de-France / Ecuires				
hCoV-19/France/IDF-HMN-21052260428/2021	EPI_ISL_2464447	2021-05-25	Europe / France / Ile-de-France				
hCoV-19/Germany/BW-RKI-I-168714/2021	EPI_ISL_2469565	2021-05-31	Europe / Germany / Baden-Wurttemberg				
hCoV-19/Netherlands/GE-RIVM-36089/2021	EPI_ISL_2476304	2021-05-05	Europe / Netherlands / Gelderland				
hCoV-19/France/ARA-HCL021097323601/2021	EPI_ISL_2482683	2021-05-20	Europe / France / Auvergne-Rhone-Alpes / Cluses				
hCoV-19/France/ARA-HCL021097336501/2021	EPI_ISL_2482693	2021-05-20	Europe / France / Auvergne-Rhone-Alpes / Cluses				
hCoV-19/France/ARA-HCL021097339101/2021	EPI_ISL_2482696	2021-05-20	Europe / France / Auvergne-Rhone-Alpes / Cluses				
hCoV-19/France/ARA-HCL021097393701/2021	EPI_ISL_2482791	2021-05-25	Europe / France / Auvergne-Rhone-Alpes / Lyon				
hCoV-19/USA/IL-CDC-ASC210105839/2021	EPI_ISL_2489681	2021-05-27	North America / USA / Illinois				
hCoV-19/Belgium/MBLGPF541707/2021	EPI_ISL_2492427	2021-05-30	Europe / Belgium / Brussels				
hCoV-19/Lithuania/IBT-LSC-VU_r12_07/2021	EPI_ISL_2497502	2021-05-25	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/IBT-LSC-VU_r12_10/2021	EPI_ISL_2497505	2021-05-26	Europe / Lithuania / Siauliu apskritis				
